# nu(cm-1)        I    I_pol
    1337.0  0.07670  0.06621
    1337.5  0.07659  0.06621
    1338.0  0.07649  0.06621
    1338.5  0.07639  0.06621
    1339.0  0.07629  0.06621
    1339.5  0.07620  0.06621
    1340.0  0.07610  0.06621
    1340.5  0.07601  0.06621
    1341.0  0.07591  0.06621
    1341.5  0.07582  0.06621
    1342.0  0.07573  0.06621
    1342.5  0.07564  0.06621
    1343.0  0.07555  0.06621
    1343.5  0.07547  0.06621
    1344.0  0.07538  0.06621
    1344.5  0.07530  0.06621
    1345.0  0.07521  0.06621
    1345.5  0.07513  0.06621
    1346.0  0.07505  0.06621
    1346.5  0.07497  0.06621
    1347.0  0.07489  0.06621
    1347.5  0.07481  0.06621
    1348.0  0.07474  0.06621
    1348.5  0.07466  0.06621
    1349.0  0.07459  0.06621
    1349.5  0.07451  0.06621
    1350.0  0.07444  0.06621
